set,collector_number,name,mana_cost,cmc,type_line,rarity,colors,score,gih_wr,iwd,oh_wr,gd_wr,ata,alsa,gih_games,my_eval,my_notes,oracle_text,scryfall_uri,image_url
dsk,32,Split Up,{1}{W}{W},3.0,Sorcery,rare,W,78.9,0.5767286646709525,0.047792334827484906,0.5565937315198107,0.5910082200972991,2.2403964037597057,2.120289910067165,20377,,,Choose one — • Destroy all tapped creatures. • Destroy all untapped creatures.,https://scryfall.com/card/dsk/32/split-up?utm_source=api,https://cards.scryfall.io/small/front/1/b/1bb9a5b1-48d2-453e-8991-c788bc63e482.jpg?1726285979
dsk,36,Trapped in the Screen,{2}{W},3.0,Enchantment,common,W,77.4,0.5755182192330858,0.03090344368158693,0.5536375781866764,0.5909285317137847,3.503405393680862,2.8352917692461244,159392,,,"Ward {2} (Whenever this enchantment becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.) When this enchantment enters, exile target artifact, creature, or enchantment an opponent controls until this enchantment leaves the battlefield.",https://scryfall.com/card/dsk/36/trapped-in-the-screen?utm_source=api,https://cards.scryfall.io/small/front/1/f/1fe95bfb-8ca7-434f-a2e7-a6b2e699584e.jpg?1726285993
dsk,34,Surgical Suite // Hospital Room,{1}{W} // {3}{W},6.0,Enchantment — Room // Enchantment — Room,uncommon,W,77.0,0.5751598493474643,0.030279557986786054,0.5602915951972556,0.5854286983562861,3.186379244563144,2.7052561464441616,57085,,,"When you unlock this door, return target creature card with mana value 3 or less from your graveyard to the battlefield. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Whenever you attack, put a +1/+1 counter on target attacking creature. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",https://scryfall.com/card/dsk/34/surgical-suite-hospital-room?utm_source=api,https://cards.scryfall.io/small/front/9/6/96b2dc14-4477-4444-a9eb-4fa4c02dfbde.jpg?1726780782
dsk,7,Ethereal Armor,{W},1.0,Enchantment — Aura,uncommon,W,76.6,0.5748658371174147,0.030731156982734542,0.5584713873821043,0.5858984477769008,4.158486546200584,3.4099796067279087,50871,,,Enchant creature Enchanted creature gets +1/+1 for each enchantment you control and has first strike.,https://scryfall.com/card/dsk/7/ethereal-armor?utm_source=api,https://cards.scryfall.io/small/front/f/d/fd0e8a82-0201-483e-a976-5f29764b35a4.jpg?1779017995
dsk,14,Glimmer Seeker,{2}{W},3.0,Creature — Human Survivor,uncommon,W,72.5,0.5711635303472038,0.020899108731496585,0.5867908902691511,0.5595315148713207,3.5629967734319665,2.9362514973937257,56595,,,"Survival — At the beginning of your second main phase, if this creature is tapped, draw a card if you control a Glimmer creature. If you don't control a Glimmer creature, create a 1/1 white Glimmer enchantment creature token.",https://scryfall.com/card/dsk/14/glimmer-seeker?utm_source=api,https://cards.scryfall.io/small/front/7/f/7f06bbb1-0c7d-4803-9b35-8a2206803eed.jpg?1726285911
dsk,38,Unsettling Twins,{3}{W},4.0,Creature — Human,common,W,70.9,0.5686624744101071,0.018073162747656246,0.5625158756521229,0.5730665845326762,7.348008210111842,5.321515200034413,122607,,,"When this creature enters, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",https://scryfall.com/card/dsk/38/unsettling-twins?utm_source=api,https://cards.scryfall.io/small/front/8/5/85da2e65-4e22-48b6-98ad-6969684d69e1.jpg?1726286000
dsk,26,Reluctant Role Model,{1}{W},2.0,Creature — Human Survivor,rare,W,69.8,0.5678373681445257,0.021760425235820224,0.5966996101187778,0.5446259297068688,1.8943578525202807,1.8513840602033182,24743,,,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying, lifelink, or +1/+1 counter on it. Whenever this creature or another creature you control dies, if it had counters on it, put those counters on up to one target creature.",https://scryfall.com/card/dsk/26/reluctant-role-model?utm_source=api,https://cards.scryfall.io/small/front/4/d/4dde86d6-34a0-4b3b-a46a-d9941501d08c.jpg?1726285956
dsk,8,Exorcise,{1}{W},2.0,Sorcery,uncommon,W,67.2,0.5659364261168385,0.02106211346954856,0.5500152021891153,0.5770951931565649,3.655135981216983,2.993350132265451,55872,,,"Exile target artifact, enchantment, or creature with power 4 or greater.",https://scryfall.com/card/dsk/8/exorcise?utm_source=api,https://cards.scryfall.io/small/front/f/4/f49006f2-a097-417d-8eb0-b8016ff2e0d5.jpg?1726285887
dsk,40,Veteran Survivor,{W},1.0,Creature — Human Survivor,uncommon,W,65.3,0.5640956971969291,0.011151964848460705,0.6006748040091296,0.5341932343635921,5.1725626269465135,3.952964357788689,44808,,,"Survival — At the beginning of your second main phase, if this creature is tapped, exile up to one target card from a graveyard. As long as there are three or more cards exiled with this creature, it gets +3/+3 and has hexproof. (It can't be the target of spells or abilities your opponents control.)",https://scryfall.com/card/dsk/40/veteran-survivor?utm_source=api,https://cards.scryfall.io/small/front/3/9/39368ea2-f665-40b1-b042-c0182f7c6df0.jpg?1726286008
dsk,29,Shardmage's Rescue,{W},1.0,Enchantment — Aura,uncommon,W,64.9,0.5636008529090291,0.01674263752296079,0.5604526767163256,0.5657466554176208,4.225150491851417,3.42297320609786,55809,,,"Flash Enchant creature you control As long as this Aura entered this turn, enchanted creature has hexproof. Enchanted creature gets +1/+1.",https://scryfall.com/card/dsk/29/shardmages-rescue?utm_source=api,https://cards.scryfall.io/small/front/a/e/aed0cafa-d701-4e1f-9773-abcf817c244c.jpg?1726285964
dsk,28,Seized from Slumber,{4}{W},5.0,Instant,common,W,63.4,0.562234617463136,0.024215938343723042,0.5394109130610211,0.577873184693695,6.5860760180014095,4.591212263203695,103624,,,This spell costs {3} less to cast if it targets a tapped creature. Destroy target creature.,https://scryfall.com/card/dsk/28/seized-from-slumber?utm_source=api,https://cards.scryfall.io/small/front/2/4/24456083-0c76-46c5-9b18-8d468702df69.jpg?1726285963
dsk,9,Fear of Abduction,{4}{W}{W},6.0,Enchantment Creature — Nightmare,uncommon,W,63.0,0.562026874551236,0.023517574548536424,0.5341254195748308,0.5794969308780358,4.111392710596187,3.3357198235018233,48745,,,"As an additional cost to cast this spell, exile a creature you control. Flying When this creature enters, exile target creature an opponent controls. When this creature leaves the battlefield, put each card exiled with it into its owner's hand.",https://scryfall.com/card/dsk/9/fear-of-abduction?utm_source=api,https://cards.scryfall.io/small/front/f/c/fc9374be-5e4b-4c23-8b6e-94c03d4f5ef1.jpg?1726285889
dsk,19,Lionheart Glimmer,{3}{W}{W},5.0,Enchantment Creature — Cat Glimmer,uncommon,W,58.9,0.5561464690496949,0.01141359726277702,0.5438044797528412,0.5642069611587519,4.449117050213721,3.483203220629437,45880,,,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.) Whenever you attack, creatures you control get +1/+1 until end of turn.",https://scryfall.com/card/dsk/19/lionheart-glimmer?utm_source=api,https://cards.scryfall.io/small/front/4/8/483e1c6f-331c-45f1-bf5d-9b9742aa8903.jpg?1726285926
dsk,12,Friendly Ghost,{3}{W},4.0,Creature — Spirit,common,W,58.5,0.5557850179579271,0.007898740215067424,0.5433663863436676,0.5643712574850299,8.863370897425352,6.142462900857061,77960,,,"Flying When this creature enters, target creature gets +2/+4 until end of turn.",https://scryfall.com/card/dsk/12/friendly-ghost?utm_source=api,https://cards.scryfall.io/small/front/2/0/20e0dba2-d15c-4d55-9b68-00648175e760.jpg?1726285903
dsk,11,Fear of Surveillance,{1}{W},2.0,Enchantment Creature — Nightmare,common,W,57.0,0.5547083929873848,0.00048562676951457995,0.562895055020738,0.548243228543457,5.659579980492563,4.137562587855342,148076,,,"Vigilance Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",https://scryfall.com/card/dsk/11/fear-of-surveillance?utm_source=api,https://cards.scryfall.io/small/front/6/e/6e98559d-d9fd-4bdf-8df9-389eee756a3a.jpg?1726285897
dsk,17,Jump Scare,{W},1.0,Instant,common,W,55.1,0.5532008081493098,-0.0024015362586583544,0.5417833003345395,0.5612631071471617,9.304740652893077,6.531265817938978,70779,,,"Until end of turn, target creature gets +2/+2, gains flying, and becomes a Horror enchantment creature in addition to its other types.",https://scryfall.com/card/dsk/17/jump-scare?utm_source=api,https://cards.scryfall.io/small/front/a/2/a2dd8903-31ca-470d-b2ff-280f6d40c794.jpg?1726285919
dsk,10,Fear of Immobility,{4}{W},5.0,Enchantment Creature — Nightmare,common,W,48.3,0.5493766459823901,0.0021434000071000048,0.5269815481025879,0.5636700305527266,8.331789182149393,5.741863776402971,88473,,,"When this creature enters, tap up to one target creature. If an opponent controls that creature, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",https://scryfall.com/card/dsk/10/fear-of-immobility?utm_source=api,https://cards.scryfall.io/small/front/9/2/9220c8fa-6ef7-4bc1-acb9-fc54cc43e498.jpg?1726285895
dsk,15,Grand Entryway // Elegant Rotunda,{1}{W} // {2}{W},5.0,Enchantment — Room // Enchantment — Room,common,W,43.4,0.5454234972677595,-0.005546031818113084,0.5288275111398347,0.5578040549113147,5.610042361944094,4.125775545759686,137616,,,"When you unlock this door, create a 1/1 white Glimmer enchantment creature token. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // When you unlock this door, put a +1/+1 counter on each of up to two target creatures. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",https://scryfall.com/card/dsk/15/grand-entryway-elegant-rotunda?utm_source=api,https://cards.scryfall.io/small/front/e/f/ef8a8ba7-f955-425d-9a16-816fc48a2a83.jpg?1726867775
dsk,5,Emerge from the Cocoon,{4}{W},5.0,Sorcery,common,W,41.1,0.543048133858755,0.039948333607219944,0.5052374491180461,0.5662361869258421,9.362761281228556,6.399761931430103,48469,,,Return target creature card from your graveyard to the battlefield. You gain 3 life.,https://scryfall.com/card/dsk/5/emerge-from-the-cocoon?utm_source=api,https://cards.scryfall.io/small/front/3/b/3ba16fbf-2d44-4337-87cb-6ff6b84a258a.jpg?1726285873
dsk,24,Patched Plaything,{2}{W},3.0,Artifact Creature — Toy,uncommon,W,37.4,0.5408592923709366,-0.009520948470538415,0.5399089110732852,0.5415873687178403,4.994619463505926,3.887546821781938,50111,,,Double strike This creature enters with two -1/-1 counters on it if you cast it from your hand.,https://scryfall.com/card/dsk/24/patched-plaything?utm_source=api,https://cards.scryfall.io/small/front/5/1/513da431-4f3a-4f4a-8be4-7e162dd93307.jpg?1726285949
dsk,16,Hardened Escort,{2}{W},3.0,Creature — Human Soldier,common,W,34.0,0.5384841219357048,-0.0060836756407689485,0.5429378321132622,0.535,9.027263215005426,6.066088068415976,61311,,,"Whenever this creature attacks, another target creature you control gets +1/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",https://scryfall.com/card/dsk/16/hardened-escort?utm_source=api,https://cards.scryfall.io/small/front/1/2/12054e10-46d6-4581-a7e5-ff277cb0e229.jpg?1726285918
dsk,1,Acrobatic Cheerleader,{1}{W},2.0,Creature — Human Survivor,common,W,29.1,0.5346008466109812,-0.01408699869288621,0.5440708922410877,0.5266381010162293,7.592286359901397,5.307675502301138,97093,,,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying counter on it. This ability triggers only once.",https://scryfall.com/card/dsk/1/acrobatic-cheerleader?utm_source=api,https://cards.scryfall.io/small/front/6/f/6f1a7590-3eee-4803-b192-d4fb771e6a86.jpg?1726285858
dsk,22,Orphans of the Wheat,{1}{W},2.0,Creature — Human,uncommon,W,26.0,0.5312450098472348,-0.014884123791065296,0.5442621022292806,0.5204880182763817,6.008252601363473,4.427400694867295,37574,,,"Whenever this creature attacks, tap any number of untapped creatures you control. This creature gets +1/+1 until end of turn for each creature tapped this way.",https://scryfall.com/card/dsk/22/orphans-of-the-wheat?utm_source=api,https://cards.scryfall.io/small/front/8/e/8ef4aab1-8bc0-4652-91d7-3e8b20b411ad.jpg?1726285941
dsk,2,Cult Healer,{2}{W},3.0,Creature — Human Doctor,common,W,24.5,0.5308891351757177,-0.00857546746675919,0.5282602233640494,0.5328002963603248,9.350543528583863,6.303266542384224,55942,,,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature gains lifelink until end of turn.",https://scryfall.com/card/dsk/2/cult-healer?utm_source=api,https://cards.scryfall.io/small/front/9/c/9c9b8fbe-8a5e-4b62-b53f-9ead8147bbbb.jpg?1726285862
dsk,25,Possessed Goat,{W},1.0,Creature — Goat,common,W,17.0,0.522675851821835,0.00943136544372436,0.5306842589751457,0.5163781142546903,10.434465714405395,6.937333099716916,29613,,,"{3}, Discard a card: Put three +1/+1 counters on this creature and it becomes a black Demon in addition to its other colors and types. Activate only once.",https://scryfall.com/card/dsk/25/possessed-goat?utm_source=api,https://cards.scryfall.io/small/front/c/d/cd02b8ff-ff65-4a38-b8fb-f8dd130edbf7.jpg?1726285949
dsk,31,Shepherding Spirits,{4}{W}{W},6.0,Creature — Spirit,common,W,16.2,0.5202251407129456,-0.00512823010309138,0.4948875255623722,0.5380412206422751,9.547696630309652,6.319993391536446,53300,,,"Flying Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",https://scryfall.com/card/dsk/31/shepherding-spirits?utm_source=api,https://cards.scryfall.io/small/front/8/6/86c02ab1-0fb2-4cb0-a871-bfad406726fc.jpg?1726285971
dsk,20,Living Phone,{2}{W},3.0,Artifact Creature — Toy,common,W,10.6,0.5111600992008818,-0.03171654042304728,0.5021123595505618,0.5182098333099874,10.849361938228222,7.404037089871612,25403,,,"When this creature dies, look at the top five cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",https://scryfall.com/card/dsk/20/living-phone?utm_source=api,https://cards.scryfall.io/small/front/8/2/8266f93b-f91c-4427-a222-075ceb0be3af.jpg?1726285933
dsk,27,Savior of the Small,{3}{W},4.0,Creature — Kor Survivor,uncommon,W,8.7,0.5086711797368221,-0.01880620917391329,0.49885771726217676,0.5156667318090027,6.145118584868458,4.352396457986474,26294,,,"Survival — At the beginning of your second main phase, if this creature is tapped, return target creature card with mana value 3 or less from your graveyard to your hand.",https://scryfall.com/card/dsk/27/savior-of-the-small?utm_source=api,https://cards.scryfall.io/small/front/e/2/e2ed31ea-c278-4e8c-afa7-6d09af399345.jpg?1726285957
dsk,39,Unwanted Remake,{W},1.0,Instant,uncommon,W,2.3,0.478017585931255,-0.031249958489044105,0.4623446258834999,0.4889077053344623,8.901821995019006,5.614020988387668,10008,,,"Destroy target creature. Its controller manifests dread. (That player looks at the top two cards of their library, then puts one onto the battlefield face down as a 2/2 creature and the other into their graveyard. If it's a creature card, it can be turned face up any time for its mana cost.)",https://scryfall.com/card/dsk/39/unwanted-remake?utm_source=api,https://cards.scryfall.io/small/front/7/b/7b54447f-1daf-4352-b5c3-3c0ec8b8f4d0.jpg?1726286001
dsk,3,Dazzling Theater // Prop Room,{3}{W} // {2}{W},7.0,Enchantment — Room // Enchantment — Room,rare,W,0.4,0.3976693372177713,-0.08836024719171448,0.37105263157894736,0.4165628891656289,7.348605577689243,4.723696634518109,2746,,,"Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.) (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Untap each creature you control during each other player's untap step. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",https://scryfall.com/card/dsk/3/dazzling-theater-prop-room?utm_source=api,https://cards.scryfall.io/small/front/8/e/8e2fae80-60af-44cf-95b4-177837435d1a.jpg?1770639004
dsk,18,Leyline of Hope,{2}{W}{W},4.0,Enchantment,rare,W,,,,,,9.406898106402164,5.943040318769875,159,,,"If this card is in your opening hand, you may begin the game with it on the battlefield. If you would gain life, you gain that much life plus 1 instead. As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",https://scryfall.com/card/dsk/18/leyline-of-hope?utm_source=api,https://cards.scryfall.io/small/front/4/0/40960e47-3065-485e-aede-29a62411034e.jpg?1726285926
dsk,68,Overlord of the Floodpits,{3}{U}{U},5.0,Enchantment Creature — Avatar Horror,mythic,U,97.4,0.6298746739614479,0.10750638699517867,0.6217110706602681,0.6349731293923109,1.4630604755066219,1.47309007981756,15719,,,"Impending 4—{1}{U}{U} (If you cast this spell for its impending cost, it enters with four time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.) Flying Whenever this permanent enters or attacks, draw two cards, then discard a card.",https://scryfall.com/card/dsk/68/overlord-of-the-floodpits?utm_source=api,https://cards.scryfall.io/small/front/5/f/5fca5de8-9cda-4370-9f72-4462f8cfd696.jpg?1726286108
dsk,53,Entity Tracker,{2}{U},3.0,Creature — Human Scout,rare,U,95.1,0.6169626998223801,0.0931933744322544,0.6396193901251217,0.6021631674252435,1.841063604774135,1.8518634094151212,33780,,,"Flash Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, draw a card.",https://scryfall.com/card/dsk/53/entity-tracker?utm_source=api,https://cards.scryfall.io/small/front/a/e/ae54d697-6d06-4af1-a617-8a47a6ab9c01.jpg?1726286051
dsk,80,Unnerving Grasp,{2}{U},3.0,Sorcery,uncommon,U,92.8,0.6073635891401372,0.069249305354529,0.5872912951856054,0.6203262671203001,3.3586239396795476,3.004793822725079,94329,,,Return up to one target nonland permanent to its owner's hand. Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.),https://scryfall.com/card/dsk/80/unnerving-grasp?utm_source=api,https://cards.scryfall.io/small/front/5/6/5602756d-76d2-4502-965f-36fc44596123.jpg?1726286150
dsk,51,Enduring Curiosity,{2}{U}{U},4.0,Enchantment Creature — Cat Glimmer,rare,U,91.7,0.605668435356542,0.07606409050970298,0.6115368421052632,0.6020070404035097,1.6562127828503375,1.6541939351551183,30908,,,"Flash Whenever a creature you control deals combat damage to a player, draw a card. When Enduring Curiosity dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)",https://scryfall.com/card/dsk/51/enduring-curiosity?utm_source=api,https://cards.scryfall.io/small/front/8/6/8616629e-08f9-41ad-bfec-f86c8096f1cb.jpg?1726286044
dsk,72,Silent Hallcreeper,{1}{U},2.0,Enchantment Creature — Horror,rare,U,91.3,0.6053703193411102,0.078427314159763,0.6300735907745998,0.5886550308008214,1.6816317052403438,1.6745212818732018,32661,,,"This creature can't be blocked. Whenever this creature deals combat damage to a player, choose one that hasn't been chosen — • Put two +1/+1 counters on this creature. • Draw a card. • This creature becomes a copy of another target creature you control.",https://scryfall.com/card/dsk/72/silent-hallcreeper?utm_source=api,https://cards.scryfall.io/small/front/a/a/aac4f0cc-63be-4f08-956e-39839c9735ba.jpg?1726286122
dsk,42,Abhorrent Oculus,{2}{U},3.0,Creature — Eye,mythic,U,87.2,0.59648440033729,0.05744008243681964,0.5685840707964602,0.6136673304685043,1.4489957298750593,1.4764492753623188,15417,,,"As an additional cost to cast this spell, exile six cards from your graveyard. Flying At the beginning of each opponent's upkeep, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",https://scryfall.com/card/dsk/42/abhorrent-oculus?utm_source=api,https://cards.scryfall.io/small/front/d/2/d2705b43-a94a-44c0-8740-82e0b296820c.jpg?1726286015
dsk,58,Fear of Isolation,{1}{U},2.0,Enchantment Creature — Nightmare,uncommon,U,86.8,0.5955708626708827,0.0536474266297996,0.5634113874266352,0.6160056902285703,3.31484582515302,2.908929743926461,85073,,,"As an additional cost to cast this spell, return a permanent you control to its owner's hand. Flying",https://scryfall.com/card/dsk/58/fear-of-isolation?utm_source=api,https://cards.scryfall.io/small/front/6/9/69aa6054-8c59-4bbc-a283-adb453639786.jpg?1726286073
dsk,59,Floodpits Drowner,{1}{U},2.0,Creature — Merfolk,uncommon,U,86.0,0.5908068535138592,0.05174561468336991,0.5600224493412891,0.6091408064175639,3.495462690017918,2.995728543745963,90698,,,"Flash Vigilance When this creature enters, tap target creature an opponent controls and put a stun counter on it. {1}{U}, {T}: Shuffle this creature and target creature with a stun counter on it into their owners' libraries.",https://scryfall.com/card/dsk/59/floodpits-drowner?utm_source=api,https://cards.scryfall.io/small/front/a/6/a6a62aa3-8edb-4000-8ebd-15ec4b00eed7.jpg?1726286073
dsk,74,"Stay Hidden, Stay Silent",{1}{U},2.0,Enchantment — Aura,uncommon,U,84.2,0.5882562446576123,0.050952982956001036,0.5616454967108255,0.6053858913064689,3.486573263280794,2.961538069773364,84232,,,"Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step. {4}{U}{U}: Shuffle enchanted creature into its owner's library, then manifest dread. Activate only as a sorcery.",https://scryfall.com/card/dsk/74/stay-hidden-stay-silent?utm_source=api,https://cards.scryfall.io/small/front/b/6/b661ffe7-4f58-43fe-a1f1-dd7a6d4d28a7.jpg?1726286129
dsk,43,Bottomless Pool // Locker Room,{U} // {4}{U},6.0,Enchantment — Room // Enchantment — Room,uncommon,U,78.5,0.5765878288599522,0.049174491055534175,0.5463016889924287,0.5957760847387727,3.3858232534388666,2.895308793143032,75260,,,"When you unlock this door, return up to one target creature to its owner's hand. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Whenever one or more creatures you control deal combat damage to a player, draw a card. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",https://scryfall.com/card/dsk/43/bottomless-pool-locker-room?utm_source=api,https://cards.scryfall.io/small/front/6/0/606fe87c-d17b-4fa7-8e82-e7002d8229ef.jpg?1726780385
