set,collector_number,name,mana_cost,cmc,type_line,rarity,colors,score,expert_grade,gih_wr,iwd,oh_wr,gd_wr,ata,alsa,gih_games,my_eval,my_notes,oracle_text,scryfall_uri,image_url
msh,41,Web Up,{2}{W},3.0,Enchantment,common,W,4.5,C+,0.6138077458086244,0.03879703611277974,0.5898393724318267,0.6292594822396147,3.5415912339209146,2.977509618747814,27318,,,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",https://scryfall.com/card/msh/41/web-up?utm_source=api,https://cards.scryfall.io/small/front/9/a/9a1b057b-229c-4f65-ba4e-12dd342238de.jpg?1780919576
msh,7,Borough Backup,{4}{W},5.0,Sorcery,common,W,4.0,C-,0.5981961382113821,0.0112014699249543,0.5776603460781267,0.6123881131399929,7.11436681622562,5.360286309828135,23616,,,"Create two 3/2 white Hero creature tokens with vigilance. Basic landcycling {2} ({2}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",https://scryfall.com/card/msh/7/borough-backup?utm_source=api,https://cards.scryfall.io/small/front/b/b/bb753ac8-67e1-44b0-b404-37f04c2b7438.jpg?1780919492
msh,8,Brave Brawler,{1}{W},2.0,Creature — Human Warrior Hero,common,W,4.0,C-,0.5962566844919787,0.00517292892357657,0.6031645569620253,0.5913454327283636,7.004144344486,5.184115160056372,22814,,,Lifelink Power-up — {4}{W}: Put two +1/+1 counters on this creature. (Activate each power-up ability only once. Reduce the cost by its mana cost if it entered this turn.),https://scryfall.com/card/msh/8/brave-brawler?utm_source=api,https://cards.scryfall.io/small/front/2/2/2242b5c3-42ef-4be0-a61f-65c93e56fcab.jpg?1780919501
msh,26,"Night Nurse, Healer of Heroes",{1}{W},2.0,Legendary Creature — Human Doctor Hero,uncommon,W,4.0,B-,0.5912328767123287,0.00968439123371223,0.5841047640550915,0.5960742217451311,3.5731652408824854,3.0855530661355903,10950,,,"Flash Lifelink When Night Nurse enters, choose target permanent card in your graveyard that was put there from anywhere this turn. Return it to your hand.",https://scryfall.com/card/msh/26/night-nurse-healer-of-heroes?utm_source=api,https://cards.scryfall.io/small/front/3/1/3199907b-9f24-4554-942a-8ab5a7701717.jpg?1781065528
msh,27,"Okoye, Dora Milaje Leader",{3}{W},4.0,Legendary Creature — Human Warrior Hero,uncommon,W,4.0,B,0.6021484182517,0.024467893087586123,0.5921985815602837,0.6084852395547669,3.8818585103899137,3.350443018637336,10147,,,"When Okoye enters, create two 1/1 white Soldier creature tokens. Attacking creature tokens you control have first strike.",https://scryfall.com/card/msh/27/okoye-dora-milaje-leader?utm_source=api,https://cards.scryfall.io/small/front/2/c/2c89acf5-20f0-4441-b96f-2c5cacd685fb.jpg?1780657778
msh,30,"Patriot, Shield Wielder",{1}{W},2.0,Legendary Creature — Human Hero,uncommon,W,4.0,C,0.5919649657273419,0.010273364483081804,0.5985215985215985,0.5873684210526315,4.615097856477167,3.8503910910778205,10504,,,"{2}, {T}: Another target creature you control gets +2/+0 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)",https://scryfall.com/card/msh/30/patriot-shield-wielder?utm_source=api,https://cards.scryfall.io/small/front/1/4/1467d7c9-00d8-43f1-b4e7-a279d2b10503.jpg?1780572616
msh,33,Raft Security Officer,{1}{W},2.0,Creature — Human Soldier,common,W,4.0,D+,0.5971856153674335,0.0027662933216523466,0.5872176308539945,0.6039819684447784,7.754444137422861,5.907508079732481,22385,,,"{2}, {T}: Tap target creature. This ability costs {1} less to activate if it targets a creature with power 3 or less.",https://scryfall.com/card/msh/33/raft-security-officer?utm_source=api,https://cards.scryfall.io/small/front/f/9/f9b9f9d6-b50c-4b29-80be-284ba773c70b.jpg?1780919544
msh,34,"Red Guardian, Super-Soldier",{2}{W},3.0,Legendary Creature — Human Soldier Villain,uncommon,W,4.0,B-,0.5955204216073782,0.022193901423423146,0.5965151102640893,0.5948482060717571,3.9945426195426195,3.355962728055751,9108,,,"Flash When Red Guardian enters, destroy target creature an opponent controls that dealt damage this turn.",https://scryfall.com/card/msh/34/red-guardian-super-soldier?utm_source=api,https://cards.scryfall.io/small/front/c/0/c08f8163-319a-4a31-b15a-93974cacd5b7.jpg?1780919550
msh,36,S.H.I.E.L.D. Spy Kit,{W},1.0,Artifact — Equipment,common,W,4.0,D+,0.6014220659902533,0.014173344686577716,0.5965376782077393,0.6045747337978178,8.9101894186806,6.610262297977568,12517,,,"Equipped creature gets +1/+1. Whenever equipped creature attacks alone, untap it and scry 1. (Look at the top card of your library. You may put that card on the bottom.) Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",https://scryfall.com/card/msh/36/shield-spy-kit?utm_source=api,https://cards.scryfall.io/small/front/4/9/4938e23f-b5da-493b-9904-af61a3733ba0.jpg?1780919556
msh,39,Take Up the Shield,{1}{W},2.0,Instant,common,W,4.0,D+,0.5971111320222076,0.025303280416841045,0.573282075925036,0.6124516627996907,6.556757881594007,4.9041358590270825,21254,,,"Put a +1/+1 counter on target creature. It gains lifelink and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",https://scryfall.com/card/msh/39/take-up-the-shield?utm_source=api,https://cards.scryfall.io/small/front/5/1/5199d708-8b11-461d-9e91-3e8cd70906f7.jpg?1780919568
msh,40,Wakandan Drone Flock,{3}{W},4.0,Artifact Creature — Robot,common,W,4.0,D+,0.5920580774949707,-0.0010957209759983044,0.5693397304089559,0.6061507936507936,9.155584959753005,6.632072695802683,11433,,,"Flying When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",https://scryfall.com/card/msh/40/wakandan-drone-flock?utm_source=api,https://cards.scryfall.io/small/front/4/b/4b12dc1f-2218-4c71-aafa-ea6a26eeb0aa.jpg?1780919562
msh,15,Helicarrier Strike,{W},1.0,Instant,common,W,3.5,C-,0.5843949810105283,0.006787867025079719,0.567931159859411,0.595219123505976,6.5673818835218265,4.861529451137885,20801,,,"Teamwork 2 (As an additional cost to cast this spell, you may tap any number of creatures you control with total power 2 or more.) Helicarrier Strike deals 2 damage to target attacking or blocking creature. If this spell was cast using teamwork, it deals 4 damage to that creature instead.",https://scryfall.com/card/msh/15/helicarrier-strike?utm_source=api,https://cards.scryfall.io/small/front/6/e/6e518842-ce44-4af2-8f38-89869828294a.jpg?1780919517
msh,25,"Nick Fury, Agent of S.H.I.E.L.D.",{W},1.0,Legendary Creature — Human Spy Hero,rare,W,3.5,C-,0.5843656557026912,0.009897570596308136,0.5977710233029382,0.5745937961595273,5.3966996699669965,4.181463837158943,2341,,,"Power-up — {W}{U}{B}{R}{G}: Put two +1/+1 counters on Nick Fury, then look at the top seven cards of your library. You may put a Hero, Equipment, or Vehicle card from among them onto the battlefield. If it's a double-faced card, you may transform it. Put the rest on the bottom of your library in a random order. (Activate each power-up ability only once. Reduce the cost by his mana cost if he entered this turn.)",https://scryfall.com/card/msh/25/nick-fury-agent-of-shield?utm_source=api,https://cards.scryfall.io/small/front/3/a/3aa6fc02-ef76-426b-accd-6c0ef88b2a5e.jpg?1780696905
msh,28,Origin of the Avengers,{1}{W},2.0,Enchantment — Saga,rare,W,3.5,C,0.5804691762138571,0.0263743486276502,0.5888888888888889,0.574438202247191,1.8845901639344262,1.878787878787879,3666,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Scry 2. II — You may put a Hero creature card with mana value 3 or less from your hand onto the battlefield. If you don't, draw a card. III — Put a +1/+1 counter on each creature you control.",https://scryfall.com/card/msh/28/origin-of-the-avengers?utm_source=api,https://cards.scryfall.io/small/front/9/b/9b0701e8-e365-425a-b897-92f4df9edcb8.jpg?1782132106
msh,37,Super Villain Lockup,{1}{W},2.0,Enchantment,uncommon,W,3.5,B,0.5776922121475593,0.014043793886524991,0.5519825163908836,0.5946782178217822,3.309439528023599,2.8385368557177166,8051,,,"Flash When this enchantment enters, exile target tapped creature an opponent controls until this enchantment leaves the battlefield.",https://scryfall.com/card/msh/37/super-villain-lockup?utm_source=api,https://cards.scryfall.io/small/front/1/a/1af5a1ca-3d11-45e3-ba12-c455c5a7fea1.jpg?1781065511
msh,3,Agent of Atlas,{1}{W},2.0,Creature — Human Spy Hero,common,W,3.0,C-,0.5669074195666448,-0.021456805906266974,0.5903558773686644,0.5494907884197276,8.515300775518758,6.2006382708661985,15230,,,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",https://scryfall.com/card/msh/3/agent-of-atlas?utm_source=api,https://cards.scryfall.io/small/front/a/9/a9db550e-ed1f-4973-a7f5-ec2e6adb8e6b.jpg?1780925411
msh,5,Agents of S.H.I.E.L.D.,{2}{W},3.0,Creature — Human Spy Hero,common,W,3.0,D+,0.5668287313090542,-0.004718058567506067,0.565118912797282,0.5679925994449584,9.141564168020423,6.458321529745042,10901,,,"Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.",https://scryfall.com/card/msh/5/agents-of-shield?utm_source=api,https://cards.scryfall.io/small/front/d/9/d9b5e156-0764-44e0-b0c7-de2561ea9e04.jpg?1780919481
msh,12,"Captain Mar-Vell, Space-Born",{4}{W},5.0,Legendary Creature — Kree Soldier Hero,uncommon,W,3.0,D+,0.5607911576497964,-0.010834609221369251,0.5360040567951319,0.576138147566719,6.051736613603473,4.444430896787173,5157,,,"Flying, vigilance Cosmic Awareness — As long as an opponent has cast a spell this turn, you may cast spells as though they had flash.",https://scryfall.com/card/msh/12/captain-mar-vell-space-born?utm_source=api,https://cards.scryfall.io/small/front/2/7/27924c2f-756c-42af-9830-18a5a2735137.jpg?1780516481
msh,14,Crowd of True Believers,{W},1.0,Creature — Human Citizen,common,W,3.0,D+,0.5739080679000572,0.001240561955169861,0.5823529411764706,0.5677546983184966,10.530047929212241,7.4340351169177,5243,,,{T}: Target creature you control that's attacking alone gets +1/+0 until end of turn. You gain 1 life.,https://scryfall.com/card/msh/14/crowd-of-true-believers?utm_source=api,https://cards.scryfall.io/small/front/4/b/4b2fffb8-d538-4772-8fbc-9bec3b9c4d9c.jpg?1780919510
msh,32,"Quake, Agent of S.H.I.E.L.D.",{2}{W},3.0,Legendary Creature — Inhuman Spy Hero,uncommon,W,3.0,C-,0.5677228698079133,-0.008843821243049832,0.5586034912718204,0.5736770691994573,6.101123595505618,4.604900896784144,6091,,,"Seismic Takedown — Whenever you cast a noncreature spell, tap target creature or land.",https://scryfall.com/card/msh/32/quake-agent-of-shield?utm_source=api,https://cards.scryfall.io/small/front/9/2/92dad216-ef8e-4af2-a3c6-1d215721c478.jpg?1780658324
msh,21,The Mind Stone,{1}{W},2.0,Legendary Artifact — Infinity Stone,mythic,W,3.0,C,0.5705407085146054,0.0233612213351182,0.5718518518518518,0.569593147751606,1.8180535966149507,1.8446745562130178,1609,,,"Indestructible {T}: Add {W}. {5}{W}, {T}: Harness The Mind Stone. (Once harnessed, its ∞ ability is active.) ∞ — At the beginning of your end step, exile up to one other target nonland permanent you control, then return that card to the battlefield under its owner's control.",https://scryfall.com/card/msh/21/the-mind-stone?utm_source=api,https://cards.scryfall.io/small/front/8/7/87f1e69a-6d74-4982-afda-82613637799a.jpg?1780414743
msh,42,"White Widow, Free Agent",{3}{W},4.0,Legendary Creature — Human Hero Villain,uncommon,W,3.0,C+,0.5724233983286908,-0.0015803129022007312,0.5443342350465885,0.5900926451124976,4.428647497337593,3.6283495417337157,8616,,,"When White Widow enters, choose one — • Put a +1/+1 counter on each of up to two target creatures. • Return target artifact or enchantment card from your graveyard to your hand.",https://scryfall.com/card/msh/42/white-widow-free-agent?utm_source=api,https://cards.scryfall.io/small/front/5/7/57da765f-7d87-42ac-9eb0-a49c296fbbf8.jpg?1782591448
msh,13,"Colleen Wing, Street Samurai",{1}{W},2.0,Legendary Creature — Human Samurai Hero,uncommon,W,2.5,D+,0.5563589173155358,-0.004494111752652241,0.5727472527472528,0.5444052580955434,6.153821451509312,4.591663723066055,5394,,,"Whenever you cast a spell that targets a creature you control, put a +1/+1 counter on Colleen Wing. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",https://scryfall.com/card/msh/13/colleen-wing-street-samurai?utm_source=api,https://cards.scryfall.io/small/front/8/b/8bffc505-608e-4a5b-9ed9-2321e4cab484.jpg?1780658311
msh,29,Panther Pounce,{W},1.0,Instant,common,W,2.5,D,0.5468091511137869,-0.0032937629800273704,0.5191864927091328,0.5646359583952452,10.166788410031653,7.057199476035334,6644,,,"Target player investigates. Target creature gets +1/+0 and gains flying until end of turn. Untap it. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",https://scryfall.com/card/msh/29/panther-pounce?utm_source=api,https://cards.scryfall.io/small/front/4/1/4122ae40-800d-4b6b-93c9-aa503c33f1a9.jpg?1780919538
msh,38,Super-Soldier Serum,{1}{W},2.0,Enchantment — Aura,rare,W,2.5,D-,0.5481313703284258,0.01412207586285763,0.5451936872309899,0.5500467726847521,3.341069626639758,2.954850659874971,1766,,,"Enchant creature Enchanted creature gets +2/+2, has first strike and vigilance, and is a legendary Soldier in addition to its other types. Whenever enchanted creature attacks or blocks, attach any number of target Equipment you control to it.",https://scryfall.com/card/msh/38/super-soldier-serum?utm_source=api,https://cards.scryfall.io/small/front/8/4/845b0be1-4f85-4a8c-8205-dc85c8cf9a61.jpg?1780572629
msh,35,"The Sentry, Golden Guardian",{3}{W},4.0,Legendary Creature — Human Hero,rare,W,2.5,B,0.5465561224489796,-0.008381993236799667,0.537712895377129,0.5522858644245927,2.229424617625637,2.1649713922441194,3136,,,"Flying, vigilance, indestructible When The Sentry enters, target opponent creates The Void, a legendary 5/5 black Horror Villain creature token with flying, indestructible, and ""The Void attacks each combat if able.""",https://scryfall.com/card/msh/35/the-sentry-golden-guardian?utm_source=api,https://cards.scryfall.io/small/front/3/f/3f56c0e7-5b07-48e3-b0ca-5d09ddc8de9a.jpg?1778243735
msh,19,Kree Commandos,{2}{W},3.0,Creature — Kree Soldier Villain,common,W,1.5,D,0.5277985539765645,-0.013054021511890168,0.5139664804469274,0.5370833333333334,10.372303206997085,6.937012649454167,4011,,,"Flying, vigilance Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",https://scryfall.com/card/msh/19/kree-commandos?utm_source=api,https://cards.scryfall.io/small/front/4/0/401f9ccf-f30c-4777-9a5b-4c340e724fff.jpg?1780919531
msh,20,"Luke Cage, Power Man",{3}{W},4.0,Legendary Creature — Human Hero,uncommon,W,1.5,D,0.5263340263340264,-0.023053320502682828,0.5070921985815603,0.5386803185437997,7.798724591470705,5.326989079563183,2886,,,"Unbreakable Skin — Whenever Luke Cage attacks alone, he gets +2/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy him.)",https://scryfall.com/card/msh/20/luke-cage-power-man?utm_source=api,https://cards.scryfall.io/small/front/3/b/3b72c9e9-1cb2-4374-873a-53af293d86d0.jpg?1780516503
msh,22,"Mockingbird, Ace Agent",{3}{W},4.0,Legendary Creature — Human Spy Hero,uncommon,W,1.0,D-,0.5053800763623741,-0.027835827009543346,0.49361702127659574,0.5134818288393904,6.917965545529122,4.900500028091466,2881,,,"Double strike Whenever you cast a spell that targets a creature you control, put a +1/+1 counter on Mockingbird.",https://scryfall.com/card/msh/22/mockingbird-ace-agent?utm_source=api,https://cards.scryfall.io/small/front/0/f/0f5701ac-ec30-4fb1-bd71-4bac4693c075.jpg?1780658304
msh,17,"Invisible Woman, Sue Storm",{4}{W},5.0,Legendary Creature — Human Hero,uncommon,W,0.0,D+,0.4583723105706268,-0.07500620518674361,0.44802867383512546,0.4650269023827825,7.41004366812227,5.124567853811118,2138,,,"Lifelink Whenever you put one or more +1/+1 counters on one or more other Heroes you control, you may create a 0/4 colorless Wall creature token with defender.",https://scryfall.com/card/msh/17/invisible-woman-sue-storm?utm_source=api,https://cards.scryfall.io/small/front/2/f/2f80394b-2f7e-40a7-8203-720bcf39d71b.jpg?1780413367
msh,61,"Justice, Vance Astrovik",{2}{U},3.0,Legendary Creature — Mutant Hero,uncommon,U,5.0,B,0.649680624556423,0.07930399490890971,0.6263715826669146,0.6640651899460576,3.079484218629715,2.851952684941795,14090,,,"Flying When Justice enters, return up to one target nonland, nontoken permanent to its owner's hand. Whenever another nonland permanent you control is returned to its owner's hand, put a +1/+1 counter on Justice.",https://scryfall.com/card/msh/61/justice-vance-astrovik?utm_source=api,https://cards.scryfall.io/small/front/f/1/f1448731-d50e-4b9c-8eb2-3d85c21516c6.jpg?1780925908
msh,64,"Leader, Super-Genius",{2}{U}{U},4.0,Legendary Creature — Gamma Scientist Villain,rare,U,5.0,C+,0.6898436027887695,0.15552171008633697,0.6970933197348291,0.6855947399880454,1.7609498680738787,1.8029061102831594,5307,,,"If a creature you control would connive, instead you draw a card, then that creature connives. At the beginning of combat on your turn, target creature you control connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)",https://scryfall.com/card/msh/64/leader-super-genius?utm_source=api,https://cards.scryfall.io/small/front/2/c/2c8aab8d-2dfe-49c8-9aa8-536b0587b467.jpg?1780413468
msh,84,The Wondrous Wasp,{1}{U},2.0,Legendary Creature — Human Hero,rare,U,5.0,C+,0.6452017562199457,0.08543288659192116,0.6479915433403806,0.6433759944655828,2.044267877412032,2.0032754667540122,4783,,,"Flash Flying Wasp's Sting — When The Wondrous Wasp enters, tap up to one target creature. It loses all abilities for as long as The Wondrous Wasp remains on the battlefield.",https://scryfall.com/card/msh/84/the-wondrous-wasp?utm_source=api,https://cards.scryfall.io/small/front/4/8/484e80a4-1d5f-4c27-98a8-ee2ef9d6cbdc.jpg?1780657794
msh,81,Trickster's Stratagem,{3}{U},4.0,Sorcery,common,U,5.0,C-,0.6201562851722031,0.04823874955173024,0.5889324618736383,0.6384160636020793,6.039265799256506,4.8979043524986565,31097,,,"The owner of target creature an opponent controls puts it into their library second from the top or on the bottom. Then up to one target creature you control connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)",https://scryfall.com/card/msh/81/tricksters-stratagem?utm_source=api,https://cards.scryfall.io/small/front/6/2/620376d0-dc0c-405f-8121-eb36d9b4f4c2.jpg?1780919676
msh,52,"Falcon, Winged Wonder",{4}{U},5.0,Legendary Creature — Human Hero,uncommon,U,4.5,B-,0.6126831966079823,0.04226696506986505,0.582796232027764,0.6303741746148203,4.450417648318698,3.7651769214975017,10849,,,"Flying Avian Telepathy — When Falcon enters, create Redwing, a legendary 1/1 blue Bird Scout creature token with flying and ""Whenever Redwing attacks, surveil 1."" (Look at the top card of your library. You may put it into your graveyard.)",https://scryfall.com/card/msh/52/falcon-winged-wonder?utm_source=api,https://cards.scryfall.io/small/front/8/d/8dc209ed-0d4c-4d0c-90e8-04cadc3d4c3d.jpg?1780572667
msh,73,S.H.I.E.L.D. Deployment Drone,{2}{U},3.0,Artifact Creature — Robot,common,U,4.5,C+,0.6078950572193815,0.034067896725554325,0.5982255025125628,0.6140159045725646,5.124861791186227,4.220839661000343,32856,,,"Flying When this creature enters, create a 1/1 white Soldier creature token.",https://scryfall.com/card/msh/73/shield-deployment-drone?utm_source=api,https://cards.scryfall.io/small/front/c/3/c3d0f02f-dfaf-47b6-8053-514417f4dfe2.jpg?1780925755
msh,76,"Stature, Size Shifter",{U},1.0,Legendary Creature — Human Hero,uncommon,U,4.5,D+,0.6094261400829151,0.03830068698416167,0.6164804469273742,0.6049051199427139,5.6898850574712645,4.693192713326941,9166,,,Stature can't be blocked if her power is 1 or less. Power-up — {X}{U}{U}: Put X +1/+1 counters on Stature. (Activate each power-up ability only once. Reduce the cost by her mana cost if she entered this turn.),https://scryfall.com/card/msh/76/stature-size-shifter?utm_source=api,https://cards.scryfall.io/small/front/f/e/fe692959-64ca-4065-9f9e-1abe590e3d0f.jpg?1780657786
msh,62,Kang the Conqueror,{2}{U}{U},4.0,Legendary Creature — Human Villain,mythic,U,4.0,B+,0.6031187122736419,0.056257147355327164,0.5848032564450475,0.6139088729016786,1.581841432225064,1.6131907308377897,1988,,,"Flying Power-up — {5}{U}{U}{U}: Put a +1/+1 counter on Kang. Take an extra turn after this one. During that turn, power-up abilities can't be activated. (Activate each power-up ability only once. Reduce the cost by his mana cost if he entered this turn.)",https://scryfall.com/card/msh/62/kang-the-conqueror?utm_source=api,https://cards.scryfall.io/small/front/7/9/79747b45-fd7b-4023-9a9c-4d9dab2429fe.jpg?1780458239
msh,74,S.H.I.E.L.D. Flying Car,{2}{U},3.0,Artifact — Vehicle,rare,U,4.0,B,0.5923245614035088,0.0420083915751438,0.5642361111111112,0.6094632768361582,2.5443310048361094,2.4257452574525744,4560,,,"Flash Flying When this Vehicle enters, exile up to one target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step. Crew 1",https://scryfall.com/card/msh/74/shield-flying-car?utm_source=api,https://cards.scryfall.io/small/front/8/e/8e651410-b829-4468-b866-a9dd15f909ad.jpg?1780539471
msh,72,Secret Invasion,{1}{U}{U},3.0,Enchantment — Aura,rare,U,4.0,B,0.6028438342731062,0.04933755133836759,0.5603448275862069,0.6277712952158693,2.466627288836385,2.383608423449061,4079,,,"Enchant creature you control When this Aura enters, exile up to one target creature other than enchanted creature until this Aura leaves the battlefield. Enchanted creature becomes a copy of that creature until this Aura leaves the battlefield. Enchanted creature has ward {2}.",https://scryfall.com/card/msh/72/secret-invasion?utm_source=api,https://cards.scryfall.io/small/front/e/3/e361b2f4-cd2f-44e9-a56d-c1d6b5ae742d.jpg?1780413499
msh,82,We Say Thee Nay!,{1}{U},2.0,Instant — Arcane,common,U,4.0,C+,0.6044018865227955,0.033161268157218204,0.5989875747814082,0.607837411668516,6.180589784991927,4.8930033173926155,27988,,,"Teamwork 2 (As an additional cost to cast this spell, you may tap any number of creatures you control with total power 2 or more.) Counter target spell unless its controller pays {2}. Counter that spell unless its controller pays {4} instead if this spell was cast using teamwork.",https://scryfall.com/card/msh/82/we-say-thee-nay!?utm_source=api,https://cards.scryfall.io/small/front/1/3/13b70321-75bd-4d44-b9f6-5f062a5dda0f.jpg?1780919683
